Answer,Time Stamp,Correct
I see a lot of Annikas,10/8/17 11:42,
10 Annikas in a tree,10/8/17 11:42,Yes
ten,10/8/17 11:43,Yes
How did you do this?,10/8/17 11:43,
A lot of girls,10/12/2017 14:48:15,
ten girls,10/12/2017 14:48:25,Yes
girls around a tree,10/12/2017 14:51:12,
A lot of girls,10/12/2017 14:51:19,
10 girls,10/12/2017 14:51:26,Yes
Annika in a tree,12/3/2017 9:15:1,
There are 10 Annikas,12/13/2017 13:25:50,Yes
a lot of girls,12/13/2017 13:25:59,
a lot of girls,12/13/2017 13:26:38,
10 annikas,12/13/2017 13:26:47,Yes
